salon;grupo;lugar;semana;fecha;alimento;precio;unidades;Observaciones
1;7;surtifruver_cll58;1;01/02/2007;cebolla;1090;lb;Cosecha. Por eso promociones de viernes a lunes
1;7;surtifruver_cll58;1;01/02/2007;coliflor;3350;lb;Por unidad no hay
1;7;surtifruver_cll58;1;01/02/2007;papa;890;lb;Cosecha
1;7;surtifruver_cll58;1;01/02/2007;tomate;1900;lb;No está en cosecha 
1;7;surtifruver_cll58;1;01/02/2007;zanahoria;980;lb;En promoción y cosecha
1;7;surtifruver_cll58;1;01/02/2007;fresa;6300;lb;No hay cosechas por heladas
1;7;surtifruver_cll58;1;01/02/2007;granadilla;6850;lb;No cosecha. Por eso está costosa
1;7;surtifruver_cll58;1;01/02/2007;lulo;2590;lb;No cosecha
1;7;surtifruver_cll58;1;01/02/2007;manzana;1800;1 unidad ;Importada chilena o de Estados Unidos
1;7;surtifruver_cll58;1;01/02/2007;maracuya;3490;lb;No cosecha 
1;7;olimpica;2;01/02/2013;cebolla;1300;lb;Se cambió éxito_express por olimpica
1;7;olimpica;2;01/02/2013;coliflor;3750;lb;NA
1;7;olimpica;2;01/02/2013;papa;4800;lb;NA
1;7;olimpica;2;01/02/2013;tomate;3450;lb;NA
1;7;olimpica;2;01/02/2013;zanahoria;1000;lb;NA
1;7;olimpica;2;01/02/2013;fresa;7900;lb;NA
1;7;olimpica;2;01/02/2013;granadilla;6600;lb;NA
1;7;olimpica;2;01/02/2013;lulo;2800;lb;NA
1;7;olimpica;2;01/02/2013;manzana;5250;lb;NA
1;7;olimpica;2;01/02/2013;maracuya;4450;lb;NA
1;7;surtifruver_cll58;3;01/02/2022;cebolla;490;lb;en mega descuento
1;7;surtifruver_cll58;3;01/02/2022;coliflor;6700;lb;costosa por las heladas
1;7;surtifruver_cll58;3;01/02/2022;papa;1250;lb;NA
1;7;surtifruver_cll58;3;01/02/2022;tomate;1200;lb;NA
1;7;surtifruver_cll58;3;01/02/2022;zanahoria;1550;lb;costosa por las heladas
1;7;surtifruver_cll58;3;01/02/2022;fresa;3500;lb;NA
1;7;surtifruver_cll58;3;01/02/2022;granadilla;4990;lb;NA
1;7;surtifruver_cll58;3;01/02/2022;lulo;2500;lb;NA
1;7;surtifruver_cll58;3;01/02/2022;manzana;1650;unidad;paquete de 6 unidades
1;7;surtifruver_cll58;3;01/02/2022;maracuya;3750;lb;NA
1;7;olimpica;4;01/02/2028;cebolla;2450;lb;Se cambió éxito_express por olimpica
1;7;olimpica;4;01/02/2028;coliflor;3450;lb;NA
1;7;olimpica;4;01/02/2028;papa;4800;lb;NA
1;7;olimpica;4;01/02/2028;tomate;2400;lb;NA
1;7;olimpica;4;01/02/2028;zanahoria;1100;lb;NA
1;7;olimpica;4;01/02/2028;fresa;3600;lb;NA
1;7;olimpica;4;01/02/2028;granadilla;6225;lb;NA
1;7;olimpica;4;01/02/2028;lulo;2700;lb;NA
1;7;olimpica;4;01/02/2028;manzana;5250;lb;NA
1;7;olimpica;4;01/02/2028;maracuya;4300;lb;NA
