"salon	grupo	lugar	semana	fecha	alimento	precio	unidades	Observaciones"
"1	7	surtifruver_cll58	1	39114	cebolla	1090	lb	Cosecha. Por eso promociones de viernes a lunes"
"1	7	surtifruver_cll58	1	39114	coliflor	3350	lb	Por unidad no hay"
"1	7	surtifruver_cll58	1	39114	papa	890	lb	Cosecha"
""
""
"1	7	surtifruver_cll58	1	39114	fresa	6300	lb	No hay cosechas por heladas"
""
"1	7	surtifruver_cll58	1	39114	lulo	2590	lb	No cosecha"
"1	7	surtifruver_cll58	1	39114	manzana	1800	1 unidad 	Importada chilena o de Estados Unidos"
"1	7	surtifruver_cll58	1	39114	maracuya	3490	lb	No cosecha"
""
"1	7	olimpica	2	41306	coliflor	3750	lb	NA"
"1	7	olimpica	2	41306	papa	4800	lb	NA"
"1	7	olimpica	2	41306	tomate	3450	lb	NA"
"1	7	olimpica	2	41306	zanahoria	1000	lb	NA"
"1	7	olimpica	2	41306	fresa	7900	lb	NA"
"1	7	olimpica	2	41306	granadilla	6600	lb	NA"
"1	7	olimpica	2	41306	lulo	2800	lb	NA"
"1	7	olimpica	2	41306	manzana	5250	lb	NA"
"1	7	olimpica	2	41306	maracuya	4450	lb	NA"
"1	7	surtifruver_cll58	3	44593	cebolla	490	lb	en mega descuento"
"1	7	surtifruver_cll58	3	44593	coliflor	6700	lb	costosa por las heladas"
"1	7	surtifruver_cll58	3	44593	papa	1250	lb	NA"
"1	7	surtifruver_cll58	3	44593	tomate	1200	lb	NA"
"1	7	surtifruver_cll58	3	44593	zanahoria	1550	lb	costosa por las heladas"
"1	7	surtifruver_cll58	3	44593	fresa	3500	lb	NA"
"1	7	surtifruver_cll58	3	44593	granadilla	4990	lb	NA"
"1	7	surtifruver_cll58	3	44593	lulo	2500	lb	NA"
"1	7	surtifruver_cll58	3	44593	manzana	1650	unidad	paquete de 6 unidades"
"1	7	surtifruver_cll58	3	44593	maracuya	3750	lb	NA"
""
"1	7	olimpica	4	46784	coliflor	3450	lb	NA"
"1	7	olimpica	4	46784	papa	4800	lb	NA"
"1	7	olimpica	4	46784	tomate	2400	lb	NA"
"1	7	olimpica	4	46784	zanahoria	1100	lb	NA"
"1	7	olimpica	4	46784	fresa	3600	lb	NA"
"1	7	olimpica	4	46784	granadilla	6225	lb	NA"
"1	7	olimpica	4	46784	lulo	2700	lb	NA"
"1	7	olimpica	4	46784	manzana	5250	lb	NA"
"1	7	olimpica	4	46784	maracuya	4300	lb	NA"
